answered,condition,correct,critical_marker_code,critical_marker_label,critical_word,elapsed_experiment_time,expected_key,reaction_time,response_key,response_marker_code,response_marker_label,sentence,session_id,subject_id,trial_id
True,normal,True,33026,CRITICAL_NORMAL,tesoro,2.2946685000006255,f,0.11725049999949988,f,33028,RESPONSE_SENSE,El pirata encontró un tesoro,20260515_131040,S001,1
True,absurda,True,33027,CRITICAL_ABSURD,planeta,5.413042100000894,j,0.5518630999995366,j,33029,RESPONSE_NONSENSE,El gato duerme en el planeta,20260515_131040,S001,2
True,absurda,True,33027,CRITICAL_ABSURD,zapato,8.202523899999505,j,0.5077746999995725,j,33029,RESPONSE_NONSENSE,El panadero hornea el zapato,20260515_131040,S001,3
True,absurda,True,33027,CRITICAL_ABSURD,emoción,10.916106900000159,j,0.43844369999897026,j,33029,RESPONSE_NONSENSE,El robot cargó una emoción,20260515_131040,S001,4
True,absurda,True,33027,CRITICAL_ABSURD,wifi,13.507337600000028,j,0.31336060000103316,j,33029,RESPONSE_NONSENSE,El arquero atajó el wifi,20260515_131040,S001,5
True,normal,True,33026,CRITICAL_NORMAL,pan,16.09326619999956,f,0.3156321000005846,f,33028,RESPONSE_SENSE,El panadero hornea el pan,20260515_131040,S001,6
True,normal,True,33026,CRITICAL_NORMAL,avión,18.6849942000008,f,0.30770789999951376,f,33028,RESPONSE_SENSE,El piloto maneja el avión,20260515_131040,S001,7
True,normal,True,33026,CRITICAL_NORMAL,puerta,21.321045000000595,f,0.3602145000004384,f,33028,RESPONSE_SENSE,La llave abre la puerta,20260515_131040,S001,8
True,absurda,True,33027,CRITICAL_ABSURD,océano,23.95138760000009,j,0.3578663999996934,j,33029,RESPONSE_NONSENSE,La llave abre el océano,20260515_131040,S001,9
True,normal,True,33026,CRITICAL_NORMAL,cebolla,26.613911700000244,f,0.38636140000016894,f,33028,RESPONSE_SENSE,El cocinero corta la cebolla,20260515_131040,S001,10
True,absurda,True,33027,CRITICAL_ABSURD,nube,29.223913300000277,j,0.33010030000150437,j,33029,RESPONSE_NONSENSE,Tomé café en una nube,20260515_131040,S001,11
True,absurda,True,33027,CRITICAL_ABSURD,contraseña,31.807582400000683,j,0.31421810000028927,j,33029,RESPONSE_NONSENSE,El pirata encontró una contraseña,20260515_131040,S001,12
True,absurda,True,33027,CRITICAL_ABSURD,guitarra,34.4596846000004,j,0.3653280000016821,j,33029,RESPONSE_NONSENSE,El médico usa una guitarra,20260515_131040,S001,13
True,normal,True,33026,CRITICAL_NORMAL,estetoscopio,36.94520399999965,f,0.20228510000015376,f,33028,RESPONSE_SENSE,El médico usa un estetoscopio,20260515_131040,S001,14
True,absurda,True,33027,CRITICAL_ABSURD,sonido,39.56276000000071,j,0.3355451000006724,j,33029,RESPONSE_NONSENSE,El pintor pinta el sonido,20260515_131040,S001,15
True,normal,True,33026,CRITICAL_NORMAL,sillón,42.92559579999943,f,0.7984484999997221,f,33028,RESPONSE_SENSE,El gato duerme en el sillón,20260515_131040,S001,16
True,normal,True,33026,CRITICAL_NORMAL,pared,45.5649940000003,f,0.35437549999915063,f,33028,RESPONSE_SENSE,El pintor pinta la pared,20260515_131040,S001,17
True,normal,True,33026,CRITICAL_NORMAL,gato,48.148337900000115,f,0.28874419999920065,f,33028,RESPONSE_SENSE,El perro persigue al gato,20260515_131040,S001,18
True,absurda,True,33027,CRITICAL_ABSURD,satélite,50.63265010000032,j,0.18903120000140916,j,33029,RESPONSE_NONSENSE,El perro persigue al satélite,20260515_131040,S001,19
True,normal,True,33026,CRITICAL_NORMAL,batería,53.19691299999977,f,0.2875040999988414,f,33028,RESPONSE_SENSE,El robot cargó la batería,20260515_131040,S001,20
True,normal,True,33026,CRITICAL_NORMAL,taza,55.81314139999995,f,0.31801629999972647,f,33028,RESPONSE_SENSE,Tomé café en una taza,20260515_131040,S001,21
True,absurda,True,33027,CRITICAL_ABSURD,sombra,58.42663159999938,j,0.33270210000046063,j,33029,RESPONSE_NONSENSE,El cocinero corta la sombra,20260515_131040,S001,22
True,absurda,True,33027,CRITICAL_ABSURD,naranja,61.0137451999999,j,0.30459049999990384,j,33029,RESPONSE_NONSENSE,El piloto maneja una naranja,20260515_131040,S001,23
True,normal,True,33026,CRITICAL_NORMAL,pelota,63.565823900000396,f,0.27243189999899187,f,33028,RESPONSE_SENSE,El arquero atajó la pelota,20260515_131040,S001,24
